,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
66,DXC,FERNANDEZ RAUL J,Director,"Jun 11, 2021",$41.19,1820,74975,31305,"Jun 11, 2021, 07:21 PM",buy
67,CPSS,Grasso Louis M,Director,"Jun 09, 2021",$4.80,100,480,5100,"Jun 11, 2021, 07:02 PM",buy
68,ADOM,Menerey Michael K.,Chief Financial Officer,"Jun 10, 2021",$0.25,5000,1250,525000,"Jun 11, 2021, 06:33 PM",buy
69,ADOM,Menerey Michael K.,Chief Financial Officer,"Jun 09, 2021",$0.25,18386,4543,525000,"Jun 11, 2021, 06:33 PM",buy
70,QNTO,CLARKE JAMES J,Director,"Jun 10, 2021",$18.25,200,3650,61540,"Jun 11, 2021, 06:12 PM",buy
71,NAUT,PERCEPTIVE ADVISORS LLC,Former Director,"May 24, 2021",$10.05,7063,70983,497038,"Jun 11, 2021, 05:45 PM",buy
72,NAUT,PERCEPTIVE ADVISORS LLC,Former Director,"Jun 09, 2021",$10.00,5500000,55000000,5997038,"Jun 11, 2021, 05:45 PM",buy
73,CMT,DUVALL DAVID L.,Chief Executive Officer,"Jun 08, 2021",$12.95,1026,13285,382269,"Jun 11, 2021, 05:14 PM",buy
74,NHF,DONDERO JAMES D,See Remarks,"Jun 10, 2021",$13.92,17400,242208,2219361,"Jun 11, 2021, 05:12 PM",buy
75,NHF,DONDERO JAMES D,See Remarks,"Jun 09, 2021",$13.80,750,10350,2201961,"Jun 11, 2021, 05:12 PM",buy
76,LNDZF,CROSS LESLIE H,Director,"Jun 10, 2021",$0.62,25000,15500,1048056,"Jun 11, 2021, 04:18 PM",buy
77,LNDZF,CROSS LESLIE H,Director,"Jun 09, 2021",$0.50,50000,25000,1023056,"Jun 11, 2021, 04:18 PM",buy
78,LONE,Kruco LLC,10% Owner,"Jun 09, 2021",$8.42,113977,959686,1518676,"Jun 11, 2021, 03:53 PM",buy
79,IGXT,Matzen Dana,VP BD & Corp.Dev.of Subsidiary,"Jun 08, 2021",$0.48,10000,4800,10000,"Jun 11, 2021, 03:25 PM",buy
80,ROP,WALLMAN RICHARD F,Director,"Jun 10, 2021",$453.25,2000,906500,58508,"Jun 11, 2021, 02:58 PM",buy
81,UNB,SPITLER JANET P,Director of Union Bank,"Jun 03, 2021",$34.85,100,3485,100,"Jun 11, 2021, 02:16 PM",buy
82,TREC,"Ortelius Advisors, L.P.",10% Owner,"Jun 10, 2021",$8.49,31529,267681,2523421,"Jun 11, 2021, 02:04 PM",buy
83,GLP,Global GP LLC,General Partner,"Jun 09, 2021",$27.18,20974,570073,90884,"Jun 11, 2021, 01:30 PM",buy
84,DPW,Horne William B.,Chief Executive Officer,"Jun 09, 2021",$3.05,2000,6100,2806,"Jun 11, 2021, 01:22 PM",buy
85,IIIV,MORGAN DAVID K.,Director,"Jun 10, 2021",$31.67,3000,95010,7000,"Jun 11, 2021, 12:50 PM",buy
86,ASRV,STOPKO JEFFREY A,President & CEO ASRV & Bank,"Jun 11, 2021",$4.04,1000,4040,84005,"Jun 11, 2021, 11:34 AM",buy
87,RCG,STAHL MURRAY,President and CEO,"Jun 10, 2021",$2.53,300,759,157525,"Jun 11, 2021, 11:06 AM",buy
88,RCG,STAHL MURRAY,President and CEO,"Jun 10, 2021",$2.53,300,759,157225,"Jun 11, 2021, 11:06 AM",buy
89,RCG,STAHL MURRAY,President and CEO,"Jun 10, 2021",$2.53,75,190,156925,"Jun 11, 2021, 11:06 AM",buy
90,CCNE,Young Julie M.,Director,"Jun 11, 2021",$24.33,37,900,2098,"Jun 11, 2021, 10:37 AM",buy
91,CCNE,Scott Nicholas N. Jr.,Director,"Jun 11, 2021",$24.33,55,1338,19131,"Jun 11, 2021, 10:29 AM",buy
92,FRAF,Hollar Mark R,CFO,"Jun 09, 2021",$30.44,3,91,5965,"Jun 11, 2021, 10:06 AM",buy
93,MJNE,Bloss Roger James,Chief Executive Officer,"Apr 21, 2021",$0.61,8330,5081,1776892,"Jun 11, 2021, 09:55 AM",buy
94,OBTX,Hawkins Michael W,CFO,"Jun 11, 2021",$3.49,35000,122150,35000,"Jun 11, 2021, 09:39 AM",buy
95,ALTG,Savas Zachary E.,Director,"Jun 10, 2021",$12.85,5000,64275,33781,"Jun 11, 2021, 09:15 AM",buy
